sample,lithology,lithology_key,angle_deg,regime,mean_stress_offset_MPa,total_U_MJ_m3,WT_MJ_m3,WT_pct,WS_MJ_m3,WS_pct,MT_MJ_m3,MT_pct,MS_MJ_m3,MS_pct,below_threshold_MJ_m3,below_threshold_pct,weak_plane_pct,matrix_pct,tensile_pct,shear_pct,mixed_flag_pct,T_m_MPa,c_m_MPa,phi_m_deg,status,reason
6,Augen Gneiss,augen_gneiss,75,Thrust,0.5,183.0228471225792,17.722244480438377,9.68307769169875,25.066367843667905,13.695758883523297,1.8099428301559737,0.9889163340048841,70.87851772393154,38.72659552523559,67.54577424438543,36.90565156553748,23.378836575222046,39.71551185924047,10.671994025703635,52.422354408758885,4.368781673332686,6.866,10.76,36.65,computed,
6,Augen Gneiss,augen_gneiss,75,Strike-Slip,0.0,183.0228471225792,14.840702341848127,8.108661063451054,25.844953789841124,14.121162574053672,1.7291765266424863,0.9447872513339133,69.69900533666492,38.08213369666583,70.90900912758256,38.74325541449554,22.229823637504726,39.02692094799974,9.053448314784967,52.2032962707195,4.398064815707512,6.866,10.76,36.65,computed,
6,Augen Gneiss,augen_gneiss,75,Extensional,-0.5,183.0228471225792,11.460535148445192,6.261805740990097,26.877032666627933,14.685069699864897,1.6654722776926825,0.9099805318716497,68.1751879415207,37.24955054155643,74.84461908829272,40.893593485716934,20.946875440854996,38.15953107342808,7.1717862728617465,51.93462024142133,4.762032613469205,6.866,10.76,36.65,computed,
7,Augen Gneiss,augen_gneiss,90,Thrust,0.5,100.45154008964282,15.923444692584763,15.851867157412123,0.9673741512295138,0.9630257041019286,0.8587633791228806,0.8549031486789763,32.90294271401733,32.755040574444934,49.799015152688334,49.575163415362034,16.81489286151405,33.60994372312391,16.706770306091098,33.718066278546864,2.234428537187154,7.25,10.76,36.65,computed,
7,Augen Gneiss,augen_gneiss,90,Strike-Slip,0.0,100.45154008964282,14.213964771463932,14.150071525811759,0.6747319530334798,0.6716989629341172,0.7838980845840962,0.7803743814027606,30.693133999151776,30.555165178912407,54.08581128140953,53.84268995093896,14.821770488745877,31.33553956031517,14.93044590721452,31.226864141846523,2.4744196714687945,7.25,10.76,36.65,computed,
7,Augen Gneiss,augen_gneiss,90,Extensional,-0.5,100.45154008964282,12.8254178671406,12.767766283817267,0.5904677551927882,0.5878135414010134,0.7367511775951526,0.7334394046499206,27.43926670756471,27.315924358230788,58.85963658214956,58.595056411901005,13.35557982521828,28.04936376288071,13.501205688467188,27.9037378996318,2.2153256638941086,7.25,10.76,36.65,computed,
8,Psammitic Schist,psammitic_schist,0,Thrust,0.5,1051.2534321046812,1.7761371120349687,0.1689542271913463,6.79927918023138,0.6467783098333157,0.2430748307074042,0.023122381652609856,760.5712321821245,72.34898921180299,281.86370879958275,26.812155869519717,0.8157325370246621,72.3721115934556,0.19207660884395616,72.99576752163631,0.7745127772390887,9.57,5.94,28.03,computed,
8,Psammitic Schist,psammitic_schist,0,Strike-Slip,0.0,1051.2534321046812,1.712874148858186,0.16293636686910928,6.538189324809884,0.6219422572271637,0.2430748307074042,0.023122381652609856,756.81014604456,71.99121762003425,285.9491477557456,27.20078137421686,0.784878624096273,72.01434000168686,0.18605874852171914,72.61315987726141,0.8125559732149543,9.57,5.94,28.03,computed,
8,Psammitic Schist,psammitic_schist,0,Extensional,-0.5,1051.2534321046812,1.7093792140842166,0.1626039128035875,6.444304375573648,0.6130114945424445,0.2430748307074042,0.023122381652609856,753.6002415406782,71.68587692807043,289.25643214363765,27.51538528293092,0.775615407346032,71.70899930972304,0.18572629445619734,72.29888842261288,0.8619368545180381,9.57,5.94,28.03,computed,
9,Psammitic Schist,psammitic_schist,15,Thrust,0.5,1120.8739386287125,0.9298722885490105,0.08295957792422445,10.875967731289578,0.9703114111650536,2.2844566738679264,0.20381031221608667,801.868552765527,71.53958399162535,304.91508916947896,27.203334707069278,1.053270989089278,71.74339430384144,0.2867698901403111,72.5098954027904,1.2508959858248816,8.436666666666666,5.94,28.03,computed,
9,Psammitic Schist,psammitic_schist,15,Strike-Slip,0.0,1120.8739386287125,0.8660242684678745,0.07726330665938906,11.079080726129902,0.9884323601710423,2.2583024209943927,0.20147693180887233,799.6154791205829,71.33857355081695,307.0550520925375,27.394253850543752,1.0656956668304314,71.54005048262582,0.2787402384682614,72.32700591098799,1.3325363324908408,8.436666666666666,5.94,28.03,computed,
9,Psammitic Schist,psammitic_schist,15,Extensional,-0.5,1120.8739386287125,0.8474066783235774,0.0756023178985054,11.127606082825647,0.9927616031861051,2.188886120247774,0.1952838802662927,795.5175919482408,70.97297604416465,311.1924477990747,27.763376154484458,1.0683639210846105,71.16825992443094,0.2708861981647981,71.96573764735076,1.358682936450612,8.436666666666666,5.94,28.03,computed,
10,Psammitic Schist,psammitic_schist,30,Thrust,0.5,788.3650462170727,0.8886133187775851,0.11271597124219908,18.593640339308912,2.358506434110631,1.764847248127639,0.22386168141220408,595.5360004148304,75.5406398688625,171.5819448960282,21.76427604437246,2.4712224053528304,75.7645015502747,0.33657765265440315,77.89914630297314,2.5987886627157493,8.106666666666667,3.08,24.01,computed,
10,Psammitic Schist,psammitic_schist,30,Strike-Slip,0.0,788.3650462170727,0.8796572732480513,0.11157994351335582,18.993406352343825,2.409214670726799,1.7451027991452537,0.22135720089557948,593.6458079237002,75.30087879622234,173.10107186863536,21.95696938864192,2.5207946142401547,75.52223599711792,0.3329371444089353,77.71009346694913,2.6246295312194583,8.106666666666667,3.08,24.01,computed,
10,Psammitic Schist,psammitic_schist,30,Extensional,-0.5,788.3650462170727,0.8657844278787303,0.10982024533344677,20.19953339417504,2.562205604003046,1.6685802444716182,0.2116507133945386,591.8716595239246,75.07583731216761,173.75948862662273,22.040486125101346,2.672025849336493,75.28748802556214,0.32147095872798537,77.63804291617065,2.816564702347333,8.106666666666667,3.08,24.01,computed,
11,Psammitic Schist,psammitic_schist,45,Thrust,0.5,876.1852529032326,1.9007490073457698,0.21693460384635024,42.10759138631025,4.805786361592722,1.1598432397706682,0.13237420236502923,679.2982603286881,77.52906797710175,151.71880894111797,17.315836855094165,5.022720965439072,77.66144217946677,0.3493088062113795,82.33485433869447,5.984489086963304,6.859999999999999,2.29,24.01,computed,
11,Psammitic Schist,psammitic_schist,45,Strike-Slip,0.0,876.1852529032326,1.8853698899679132,0.21517936802984935,42.95940364766701,4.903004644887755,1.0963207579032366,0.12512431067181132,676.9488201462302,77.26092374907772,153.29533846146438,17.495767927332896,5.118184012917604,77.38604805974953,0.3403036787016607,82.16392839396548,6.067402572231434,6.859999999999999,2.29,24.01,computed,
11,Psammitic Schist,psammitic_schist,45,Extensional,-0.5,876.1852529032326,1.8540893228333137,0.21160928201996143,42.88357005476952,4.894349672363826,1.08014396270379,0.12327803499599452,674.6765212781979,77.00158374529391,155.6909282847281,17.76917926532631,5.105958954383787,77.1248617802899,0.334887317015956,81.89593341765774,6.163546810928985,6.859999999999999,2.29,24.01,computed,
12,Psammitic Schist,psammitic_schist,60,Thrust,0.5,556.637296244623,1.7710383322877212,0.3181673855194587,71.89512002312438,12.915972484806145,3.566330143247122,0.6406919132633617,394.7961830602685,70.92521211276672,84.60862468569529,15.199956103644318,13.234139870325604,71.56590402603008,0.9588592987828204,83.84118459757286,11.026764673802656,5.8999999999999995,3.24,27.81,computed,
12,Psammitic Schist,psammitic_schist,60,Strike-Slip,0.0,556.637296244623,1.676773955061385,0.3012327715684542,67.05585414857055,12.046597416480298,3.467984070010444,0.6230240218194765,398.1134751696768,71.52116429415818,86.32320890130396,15.507981495973612,12.347830188048752,72.14418831597766,0.9242567933879307,83.56776171063848,11.270931609910182,5.8999999999999995,3.24,27.81,computed,
12,Psammitic Schist,psammitic_schist,60,Extensional,-0.5,556.637296244623,1.606887804299375,0.2886777108074345,65.90284003535345,11.839458203747707,3.34891168593155,0.6016326445470189,397.79532478997805,71.46400851572845,87.98333192906065,15.80622292516939,12.128135914555141,72.06564116027548,0.8903103553544534,83.30346671947616,11.58946703140253,5.8999999999999995,3.24,27.81,computed,
