sample_id,rock,angle_deg,series_order,rel_error,rel_error_core,core_frac,boundary_residual_rel
11,Psammitic schist,45.0,32,0.09300071845128603,0.04763254021567249,0.85,0.03605637972551145
11,Psammitic schist,45.0,40,0.07237745974791501,0.013395523133941583,0.85,0.02356120381740978
11,Psammitic schist,45.0,48,0.02172704714656197,0.002410452444494075,0.85,0.0062729333278471935
11,Psammitic schist,45.0,56,0.010689625735708197,0.001999262020813784,0.85,0.005416497544370004
11,Psammitic schist,45.0,64,0.011533979531322522,0.0035438913999802,0.85,0.004983696888332478
11,Psammitic schist,45.0,80,0.0053313731297544445,0.000294852901667943,0.85,0.0025949730679587
12,Psammitic schist,60.0,16,0.2179764768829042,0.3659970703152892,0.85,0.14735470515655513
12,Psammitic schist,60.0,24,0.2654033882753585,0.20300475619310415,0.85,0.06624614688160341
12,Psammitic schist,60.0,32,0.09139347264024937,0.04910105069112338,0.85,0.03605637972551146
12,Psammitic schist,60.0,40,0.07187195403829096,0.013386053509505101,0.85,0.02356120381740974
12,Psammitic schist,60.0,48,0.021403578476605557,0.0024994261239909233,0.85,0.006272933327847211
12,Psammitic schist,60.0,56,0.01047477652642474,0.002058699378223856,0.85,0.005416497544370001
12,Psammitic schist,60.0,64,0.01139144911060202,0.003638801528867904,0.85,0.004983696888332591
12,Psammitic schist,60.0,80,0.005279851221722519,0.0002891810185241539,0.85,0.0025949730679604996
13,Psammitic schist,75.0,16,0.211257512238625,0.37467893534388447,0.85,0.14735470515655508
13,Psammitic schist,75.0,24,0.26088065182254855,0.20413181784684833,0.85,0.06624614688160343
13,Psammitic schist,75.0,32,0.08902576973109161,0.0502423730705505,0.85,0.036056379725511435
13,Psammitic schist,75.0,40,0.07052767627672352,0.013496765647940286,0.85,0.02356120381740985
13,Psammitic schist,75.0,48,0.021083307574426485,0.002516460641815463,0.85,0.006272933327847168
13,Psammitic schist,75.0,56,0.010233145689427453,0.002124229175940984,0.85,0.0054164975443700275
13,Psammitic schist,75.0,64,0.01119106544819458,0.003708327968219787,0.85,0.00498369688833272
13,Psammitic schist,75.0,80,0.005227374594912015,0.000278160871968831,0.85,0.0025949730680469183
14,Psammitic schist,90.0,16,0.2051903317744004,0.3699996322523696,0.85,0.14735470515655513
14,Psammitic schist,90.0,24,0.25584398486650123,0.20097500446092526,0.85,0.06624614688160327
14,Psammitic schist,90.0,32,0.08669913200603088,0.050189940473372864,0.85,0.03605637972551149
14,Psammitic schist,90.0,40,0.06907782995609761,0.013235598978479222,0.85,0.023561203817409723
14,Psammitic schist,90.0,48,0.020865487777319586,0.0024553241245078195,0.85,0.0062729333278472325
14,Psammitic schist,90.0,56,0.01006669082321228,0.0021521747577518302,0.85,0.005416497544370034
14,Psammitic schist,90.0,64,0.01102609735217075,0.0037068480625055897,0.85,0.004983696888332706
14,Psammitic schist,90.0,80,0.005197895901208657,0.00026475976919229947,0.85,0.0025949730683187174
