sample,lithology,lithology_key,angle_deg,regime,mean_stress_offset_MPa,total_U_MJ_m3,WT_MJ_m3,WT_pct,WS_MJ_m3,WS_pct,MT_MJ_m3,MT_pct,MS_MJ_m3,MS_pct,below_threshold_MJ_m3,below_threshold_pct,weak_plane_pct,matrix_pct,tensile_pct,shear_pct,mixed_flag_pct,T_m_MPa,c_m_MPa,phi_m_deg,status,reason
4,Augen gneiss,augen_gneiss,45,Strike-Slip,0.0,151.6016221875458,0.0,0.0,12.394974786300303,8.176017253276173,0.0,0.0,103.60633622800171,68.34117915956777,35.600311173243796,23.48280358715607,8.176017253276173,68.34117915956777,0.0,76.51719641284394,8.157894849391823,9.1475,11.68,34.95,computed,
4,Augen gneiss,augen_gneiss,45,Extensional,0.5,151.6016221875458,0.0,0.0,12.471988583991614,8.226817367800038,0.0,0.0,107.64269036497832,71.00365339878353,31.486943238575865,20.76952923341644,8.226817367800038,71.00365339878353,0.0,79.23047076658357,8.337921117683996,9.1475,11.68,34.95,computed,
5,Augen gneiss,augen_gneiss,60,Thrust,-0.5,95.20162481541132,0.0,0.0,37.1716900438915,39.04522650318686,0.0,0.0,35.158473728057686,36.93053957453697,22.87146104346213,24.024233922276167,39.04522650318686,36.93053957453697,0.0,75.97576607772383,2.289358782882103,7.909999999999999,10.27,35.49,computed,
5,Augen gneiss,augen_gneiss,60,Strike-Slip,0.0,95.20162481541132,0.0,0.0,37.64867257846443,39.54625002615484,0.0,0.0,36.801510377626656,38.65638895237552,20.751441859320238,21.797361021469644,39.54625002615484,38.65638895237552,0.0,78.20263897853036,2.5735903821874646,7.909999999999999,10.27,35.49,computed,
5,Augen gneiss,augen_gneiss,60,Extensional,0.5,95.20162481541132,0.0,0.0,37.98380906238432,39.89827813971875,0.0,0.0,39.09499577516127,41.06547115237107,18.12281997786573,19.03625070791018,39.89827813971875,41.06547115237107,0.0,80.96374929208982,2.8168295078517103,7.909999999999999,10.27,35.49,computed,
6,Augen gneiss,augen_gneiss,75,Thrust,-0.5,79.71808304728927,6.245811701535075,7.834874425956806,10.60081003758248,13.29787374753356,0.0,0.0,0.0,0.0,62.87146130817172,78.86725182650964,21.132748173490366,0.0,7.834874425956806,13.29787374753356,0.7490914340919035,7.63,15.66,36.54,computed,
6,Augen gneiss,augen_gneiss,75,Strike-Slip,0.0,79.71808304728927,8.767600737004035,10.998258364796653,10.435081501142834,13.089980468989298,0.0,0.0,0.0,0.0,60.515400809142406,75.91176116621405,24.08823883378595,0.0,10.998258364796653,13.089980468989298,1.009114083990625,7.63,15.66,36.54,computed,
6,Augen gneiss,augen_gneiss,75,Extensional,0.5,79.71808304728927,11.09209684839368,13.914154009214922,10.153729487579145,12.737046726971457,0.0,0.0,0.0,0.0,58.47225671131645,73.34879926381363,26.65120073618638,0.0,13.914154009214922,12.737046726971457,0.8682286518259092,7.63,15.66,36.54,computed,
7,Augen gneiss,augen_gneiss,90,Thrust,-0.5,85.02439848026165,15.800536883654855,18.58353268717677,0.0,0.0,0.0,0.0,0.0,0.0,69.22386159660681,81.41646731282324,18.58353268717677,0.0,18.58353268717677,0.0,0.0,8.0,16.86,36.76,computed,
7,Augen gneiss,augen_gneiss,90,Strike-Slip,0.0,85.02439848026165,17.51713236525277,20.60247726341676,0.0,0.0,0.0,0.0,0.0,0.0,67.50726611500889,79.39752273658326,20.60247726341676,0.0,20.60247726341676,0.0,0.0,8.0,16.86,36.76,computed,
7,Augen gneiss,augen_gneiss,90,Extensional,0.5,85.02439848026165,19.293702027703063,22.69195945230013,0.0,0.0,0.0,0.0,0.0,0.0,65.7306964525586,77.30804054769989,22.69195945230013,0.0,22.69195945230013,0.0,0.055392988962015055,8.0,16.86,36.76,computed,
8,Psammitic schist,psammitic_schist,0,Thrust,-0.5,489.26500481532537,0.0,0.0,0.9158434876799041,0.18718761380156182,0.0,0.0,392.9063484196739,80.30542641568604,95.44281290797153,19.507385970512384,0.18718761380156182,80.30542641568604,0.0,80.4926140294876,0.546334935607654,9.57,11.94,28.09,computed,
8,Psammitic schist,psammitic_schist,0,Strike-Slip,0.0,489.26500481532537,0.0,0.0,0.9158434876799041,0.18718761380156182,0.0,0.0,398.9946330226667,81.54980002570764,89.35452830497874,18.26301236049079,0.18718761380156182,81.54980002570764,0.0,81.7369876395092,0.5441043950395626,9.57,11.94,28.09,computed,
8,Psammitic schist,psammitic_schist,0,Extensional,0.5,489.26500481532537,0.0,0.0,0.7067612250244053,0.1444536637749464,0.0,0.0,404.25822377575946,82.62561593350581,84.30001981454151,17.229930402719244,0.1444536637749464,82.62561593350581,0.0,82.77006959728075,7.454010296217273,9.57,11.94,28.09,computed,
